site_name,county,state,lat,lng
Erath 138kV Substation Interconnect #501,Erath County,TX,32.48,-97.9427
Harris Power Grid Gateway #502,Fort Bend County,TX,30.022,-95.2488
Orange County BESS Facility #503,Riverside County,CA,33.5514,-117.6949
Maricopa Storage Hub #504,Yavapai County,AZ,33.1805,-112.17
Fulton Grid Node #505,Clayton County,GA,33.7169,-84.357
Mecklenburg Interconnect Point #506,Mecklenburg County,NC,35.0604,-80.4304
Erath 138kV Substation Interconnect #507,Hamilton County,TX,32.281,-98.0454
Harris Power Grid Gateway #508,Chambers County,TX,30.1286,-95.2635
Orange County BESS Facility #509,Riverside County,CA,34.018,-117.5202
Maricopa Storage Hub #510,Mohave County,AZ,33.0285,-112.3107
Fulton Grid Node #511,Fulton County,GA,34.0095,-84.504
Mecklenburg Interconnect Point #512,Wake County,NC,35.32,-80.6978
Erath 138kV Substation Interconnect #513,Eastland County,TX,32.2513,-98.1056
Harris Power Grid Gateway #514,Montgomery County,TX,29.7104,-95.0069
Orange County BESS Facility #515,Riverside County,CA,34.1043,-117.8123
Maricopa Storage Hub #516,Maricopa County,AZ,33.2042,-111.8681
Fulton Grid Node #517,Gwinnett County,GA,33.8702,-84.2384
Mecklenburg Interconnect Point #518,Guilford County,NC,35.113,-80.6976
Erath 138kV Substation Interconnect #519,Somervell County,TX,32.4202,-98.4873
Harris Power Grid Gateway #520,Galveston County,TX,29.998,-95.0588
Orange County BESS Facility #521,Riverside County,CA,33.5915,-117.7607
Maricopa Storage Hub #522,Pima County,AZ,33.6667,-112.1317
Fulton Grid Node #523,Cobb County,GA,33.7936,-84.3042
Mecklenburg Interconnect Point #524,Forsyth County,NC,35.2143,-80.5438
Erath 138kV Substation Interconnect #525,Erath County,TX,32.3301,-98.3141
Harris Power Grid Gateway #526,Fort Bend County,TX,29.9393,-95.0289
Orange County BESS Facility #527,Riverside County,CA,33.8221,-117.5104
Maricopa Storage Hub #528,Pinal County,AZ,33.2919,-111.5052
Fulton Grid Node #529,DeKalb County,GA,33.6489,-84.3101
Mecklenburg Interconnect Point #530,Gaston County,NC,35.3535,-80.7588
Erath 138kV Substation Interconnect #531,Hamilton County,TX,32.306,-97.9674
Harris Power Grid Gateway #532,Chambers County,TX,29.5551,-94.8764
Orange County BESS Facility #533,Riverside County,CA,33.7613,-117.7861
Maricopa Storage Hub #534,Yavapai County,AZ,33.0918,-111.5126
Fulton Grid Node #535,Clayton County,GA,34.0425,-84.1169
Mecklenburg Interconnect Point #536,Mecklenburg County,NC,35.4526,-80.8084
Erath 138kV Substation Interconnect #537,Eastland County,TX,32.1313,-97.9357
Harris Power Grid Gateway #538,Montgomery County,TX,29.9261,-95.5501
Orange County BESS Facility #539,Riverside County,CA,33.6775,-117.8803
Maricopa Storage Hub #540,Mohave County,AZ,33.4791,-111.9488
Fulton Grid Node #541,Fulton County,GA,33.8775,-84.4681
Mecklenburg Interconnect Point #542,Wake County,NC,35.0987,-80.5442
Erath 138kV Substation Interconnect #543,Somervell County,TX,32.1214,-98.3329
Harris Power Grid Gateway #544,Galveston County,TX,30.0124,-95.277
Orange County BESS Facility #545,Riverside County,CA,33.7158,-117.9699
Maricopa Storage Hub #546,Maricopa County,AZ,33.5505,-111.787
Fulton Grid Node #547,Gwinnett County,GA,33.9256,-84.3491
Mecklenburg Interconnect Point #548,Guilford County,NC,35.4953,-80.531
Erath 138kV Substation Interconnect #549,Erath County,TX,32.3893,-98.3784
Harris Power Grid Gateway #550,Fort Bend County,TX,29.894,-95.6066
Orange County BESS Facility #551,Riverside County,CA,33.9829,-117.9923
Maricopa Storage Hub #552,Pima County,AZ,33.8797,-111.9394
Fulton Grid Node #553,Cobb County,GA,33.7801,-84.5295
Mecklenburg Interconnect Point #554,Forsyth County,NC,35.0446,-80.6882
Erath 138kV Substation Interconnect #555,Hamilton County,TX,32.4769,-98.4678
Harris Power Grid Gateway #556,Chambers County,TX,29.8971,-95.4682
Orange County BESS Facility #557,Riverside County,CA,33.6398,-118.0754
Maricopa Storage Hub #558,Pinal County,AZ,33.9311,-112.1322
Fulton Grid Node #559,DeKalb County,GA,33.7697,-84.5692
Mecklenburg Interconnect Point #560,Gaston County,NC,35.0883,-80.6719
Erath 138kV Substation Interconnect #561,Eastland County,TX,32.4271,-98.4776
Harris Power Grid Gateway #562,Montgomery County,TX,29.6962,-95.6206
Orange County BESS Facility #563,Riverside County,CA,34.0228,-117.8212
Maricopa Storage Hub #564,Yavapai County,AZ,33.4177,-112.4218
Fulton Grid Node #565,Clayton County,GA,33.9188,-84.4467
Mecklenburg Interconnect Point #566,Mecklenburg County,NC,35.0252,-80.6805
Erath 138kV Substation Interconnect #567,Somervell County,TX,32.2582,-98.1548
Harris Power Grid Gateway #568,Galveston County,TX,29.5771,-95.0801
Orange County BESS Facility #569,Riverside County,CA,34.0078,-118.0587
Maricopa Storage Hub #570,Mohave County,AZ,33.7597,-112.1602
Fulton Grid Node #571,Fulton County,GA,33.7063,-84.4816
Mecklenburg Interconnect Point #572,Wake County,NC,35.1189,-80.4495
Erath 138kV Substation Interconnect #573,Erath County,TX,32.2692,-98.3084
Harris Power Grid Gateway #574,Fort Bend County,TX,29.7716,-95.0724
Orange County BESS Facility #575,Riverside County,CA,34.0196,-117.9037
Maricopa Storage Hub #576,Maricopa County,AZ,33.5888,-112.1719
Fulton Grid Node #577,Gwinnett County,GA,33.5754,-84.5317
Mecklenburg Interconnect Point #578,Guilford County,NC,35.1989,-80.7021
Erath 138kV Substation Interconnect #579,Hamilton County,TX,32.1314,-97.8626
Harris Power Grid Gateway #580,Chambers County,TX,29.7891,-94.8385
Orange County BESS Facility #581,Riverside County,CA,33.8072,-117.4933
Maricopa Storage Hub #582,Pima County,AZ,33.1121,-112.1459
Fulton Grid Node #583,Cobb County,GA,33.8137,-84.4259
Mecklenburg Interconnect Point #584,Forsyth County,NC,35.0704,-80.4678
Erath 138kV Substation Interconnect #585,Eastland County,TX,32.3056,-98.3003
Harris Power Grid Gateway #586,Montgomery County,TX,30.0062,-95.4977
Orange County BESS Facility #587,Riverside County,CA,33.995,-117.4663
Maricopa Storage Hub #588,Pinal County,AZ,33.7874,-112.3313
Fulton Grid Node #589,DeKalb County,GA,33.6248,-84.2418
Mecklenburg Interconnect Point #590,Gaston County,NC,35.0757,-80.8565
Erath 138kV Substation Interconnect #591,Somervell County,TX,32.3902,-98.2116
Harris Power Grid Gateway #592,Galveston County,TX,29.7116,-95.1817
Orange County BESS Facility #593,Riverside County,CA,33.7597,-117.8076
Maricopa Storage Hub #594,Yavapai County,AZ,33.5614,-112.4964
Fulton Grid Node #595,Clayton County,GA,33.9452,-84.4547
Mecklenburg Interconnect Point #596,Mecklenburg County,NC,35.1781,-80.9628
Erath 138kV Substation Interconnect #597,Erath County,TX,32.2903,-97.9958
Harris Power Grid Gateway #598,Fort Bend County,TX,29.5663,-95.5478
Orange County BESS Facility #599,Riverside County,CA,33.642,-117.2276
Maricopa Storage Hub #600,Mohave County,AZ,33.9045,-112.0295
Fulton Grid Node #601,Fulton County,GA,34.0409,-84.5222
Mecklenburg Interconnect Point #602,Wake County,NC,35.1825,-80.9911
Erath 138kV Substation Interconnect #603,Hamilton County,TX,32.1297,-98.219
Harris Power Grid Gateway #604,Chambers County,TX,29.7089,-95.6991
Orange County BESS Facility #605,Riverside County,CA,33.9505,-117.5528
Maricopa Storage Hub #606,Maricopa County,AZ,33.714,-111.6906
Fulton Grid Node #607,Gwinnett County,GA,33.7919,-84.5308
Mecklenburg Interconnect Point #608,Guilford County,NC,35.2186,-80.7025
Erath 138kV Substation Interconnect #609,Eastland County,TX,32.2008,-97.9692
Harris Power Grid Gateway #610,Montgomery County,TX,29.8044,-94.9803
Orange County BESS Facility #611,Riverside County,CA,33.5071,-118.0843
Maricopa Storage Hub #612,Pima County,AZ,33.6671,-111.6779
Fulton Grid Node #613,Cobb County,GA,33.9471,-84.5978
Mecklenburg Interconnect Point #614,Forsyth County,NC,35.004,-80.8082
Erath 138kV Substation Interconnect #615,Somervell County,TX,32.1521,-97.9814
Harris Power Grid Gateway #616,Galveston County,TX,29.8386,-94.8997
Orange County BESS Facility #617,Riverside County,CA,34.1279,-117.8871
Maricopa Storage Hub #618,Pinal County,AZ,33.3088,-112.1902
Fulton Grid Node #619,DeKalb County,GA,33.6463,-84.3228
Mecklenburg Interconnect Point #620,Gaston County,NC,35.4571,-80.5744
Erath 138kV Substation Interconnect #621,Erath County,TX,32.2571,-98.0109
Harris Power Grid Gateway #622,Fort Bend County,TX,30.1415,-94.872
Orange County BESS Facility #623,Riverside County,CA,33.8289,-117.8014
Maricopa Storage Hub #624,Yavapai County,AZ,33.726,-112.2266
Fulton Grid Node #625,Clayton County,GA,33.9756,-84.2156
Mecklenburg Interconnect Point #626,Mecklenburg County,NC,35.4345,-80.8356
Erath 138kV Substation Interconnect #627,Hamilton County,TX,32.0236,-98.2711
Harris Power Grid Gateway #628,Chambers County,TX,30.0399,-95.2972
