site_name,county,state,lat,lng
Walmart Supercenter #1001,Travis County,TX,30.562,-97.399
Target Store #1002,Miami-Dade County,FL,27.429,-82.2554
Home Depot Hub #1003,Cobb County,GA,31.023,-81.5016
Costco Wholesale #1004,Forsyth County,NC,36.4043,-76.81
Dollar General Retail #1005,Montgomery County,OH,38.8452,-82.9374
Amazon Fulfillment #1006,Yuma County,AZ,34.2809,-112.5867
Walmart Supercenter #1007,Williamson County,TX,26.6229,-103.8242
Target Store #1008,Polk County,FL,26.8981,-85.0368
Home Depot Hub #1009,Clayton County,GA,32.582,-81.9581
Costco Wholesale #1010,Gaston County,NC,34.5399,-83.4525
Dollar General Retail #1011,Franklin County,OH,39.2552,-81.3349
Amazon Fulfillment #1012,Pima County,AZ,35.8297,-111.9277
Walmart Supercenter #1013,Lubbock County,TX,29.7135,-101.9733
Target Store #1014,Pinellas County,FL,29.9387,-83.4751
Home Depot Hub #1015,Chatham County,GA,31.866,-82.955
Costco Wholesale #1016,Durham County,NC,35.5304,-82.8378
Dollar General Retail #1017,Stark County,OH,39.6379,-80.5541
Amazon Fulfillment #1018,Cochise County,AZ,36.1819,-111.8872
Walmart Supercenter #1019,Cameron County,TX,28.1324,-102.1993
Target Store #1020,Volusia County,FL,28.5532,-85.9907
Home Depot Hub #1021,Fulton County,GA,31.2895,-83.2497
Costco Wholesale #1022,Mecklenburg County,NC,35.2221,-83.9772
Dollar General Retail #1023,Hamilton County,OH,41.3935,-80.7204
Amazon Fulfillment #1024,Yavapai County,AZ,34.7436,-113.4998
Walmart Supercenter #1025,Ector County,TX,28.2904,-105.6269
Target Store #1026,Palm Beach County,FL,26.0151,-83.2393
Home Depot Hub #1027,Forsyth County,GA,34.7485,-83.3648
Costco Wholesale #1028,Union County,NC,34.3426,-78.215
Dollar General Retail #1029,Lorain County,OH,38.5391,-81.6574
Amazon Fulfillment #1030,Apache County,AZ,31.8876,-114.3064
Walmart Supercenter #1031,Denton County,TX,30.4757,-95.2568
Target Store #1032,Miami-Dade County,FL,28.5355,-83.9726
Home Depot Hub #1033,Cobb County,GA,33.5351,-84.9633
Costco Wholesale #1034,Forsyth County,NC,35.9424,-83.0256
Dollar General Retail #1035,Montgomery County,OH,38.5223,-82.1754
Amazon Fulfillment #1036,Yuma County,AZ,33.2354,-109.6257
Walmart Supercenter #1037,El Paso County,TX,28.1523,-94.3571
Target Store #1038,Polk County,FL,30.4186,-83.8564
Home Depot Hub #1039,Clayton County,GA,34.6537,-81.919
Costco Wholesale #1040,Gaston County,NC,34.7466,-80.1859
Dollar General Retail #1041,Franklin County,OH,38.8263,-84.1832
Amazon Fulfillment #1042,Pima County,AZ,34.9484,-111.6991
Walmart Supercenter #1043,Dallas County,TX,32.8917,-101.1189
Target Store #1044,Pinellas County,FL,27.3581,-81.0366
Home Depot Hub #1045,Chatham County,GA,32.4267,-84.7454
Costco Wholesale #1046,Durham County,NC,36.2446,-76.897
Dollar General Retail #1047,Stark County,OH,41.0212,-83.6347
Amazon Fulfillment #1048,Cochise County,AZ,35.3432,-113.8208
