site_name,street_address,city,state,zip_code
Dollar General #24102,1805 S Henderson Blvd,Kilgore,TX,75662
Dollar General #25910,520 NW 7th Ave,Fort Lauderdale,FL,33311
Dollar General #23840,1920 Highway 85,Riverdale,GA,30274
Dollar General #26104,3915 W Thomas Rd,Phoenix,AZ,85019
Dollar General #27402,2100 E Anaheim St,Long Beach,CA,90804
Dollar General #22840,1705 Fairview Rd,Raleigh,NC,27608
Dollar General #28910,2401 W Broad St,Columbus,OH,43204
Dollar General #21930,1105 S First St,Lufkin,TX,75901
Dollar General #24810,3100 US-19,Pinellas Park,FL,33782
Dollar General #23102,1502 E DeRenne Ave,Savannah,GA,31406
