site_name,county,state,lat,lng
"Walmart Supercenter #1001","Travis County","TX",30.2672,-97.7431
"Target Store #2002","Bexar County","TX",29.4241,-98.4936
"Home Depot Hub #3003","Dallas County","TX",32.7767,-96.7970
"Costco Wholesale #4004","Harris County","TX",29.7604,-95.3698
"Dollar General Retail #5005","Ector County","TX",31.8608,-102.3436
"Sams Club #6006","Tarrant County","TX",32.7555,-97.3308
"Lowes Store #7007","Williamson County","TX",30.5083,-97.6789
"H-E-B Plus! #8008","Bell County","TX",31.1060,-97.3428
"Academy Sports #9009","Brazos County","TX",30.6280,-96.3344
"Best Buy #1010","Collin County","TX",33.0198,-96.6989
"Kroger Marketplace #1111","Denton County","TX",33.2148,-97.1331
"Dollar General Retail #1212","Nueces County","TX",27.8006,-97.3964
"Target Store #1313","Lubbock County","TX",33.5779,-101.8552
"Walmart Supercenter #1414","Midland County","TX",32.0005,-102.0779
"Home Depot #1515","McLennan County","TX",31.5493,-97.1467
"Costco Wholesale #1616","Fort Bend County","TX",29.5694,-95.8143
"Target Store #1717","El Paso County","TX",31.7619,-106.4850
"Dollar General Retail #1818","Tom Green County","TX",31.4638,-100.4370
"Lowes #1919","Smith County","TX",32.3513,-95.3011
"Walmart Neighborhood Market #2020","Galveston County","TX",29.3013,-94.7977
"H-E-B Store #2121","Cameron County","TX",25.9017,-97.4975
"Costco Wholesale #2222","Bexar County","TX",29.4500,-98.5100
"Home Depot #2323","Jefferson County","TX",30.0802,-94.1266
"Dollar General Retail #2424","Taylor County","TX",32.4487,-99.7331
"Target Store #2525","Potter County","TX",35.2220,-101.8313
"Walmart Supercenter #2626","Randall County","TX",34.9812,-101.9160
"Academy Sports #2727","Lubbock County","TX",33.5900,-101.8700
"Kroger Marketplace #2828","Montgomery County","TX",30.3160,-95.4560
"Best Buy #2929","Hidalgo County","TX",26.2034,-98.2300
"Dollar General Retail #3030","Victoria County","TX",28.8053,-96.9944
"Lowes #3131","Bowie County","TX",33.4251,-94.0477
"Walmart Supercenter #3232","Bastrop County","TX",30.1105,-97.3153
"Target Store #3333","Guadalupe County","TX",29.5688,-97.9647
"H-E-B Plus! #3434","Comal County","TX",29.7030,-98.1245
"Costco Wholesale #3535","Collin County","TX",33.0500,-96.7200
"Home Depot #3636","Hays County","TX",29.8833,-97.9414
"Dollar General Retail #3737","Walker County","TX",30.7235,-95.5508
"Sams Club #3838","Lubbock County","TX",33.6000,-101.8800
"Walmart Supercenter #3939","Ellis County","TX",32.3865,-96.8483
"Target Distribution Center #4040","Hidalgo County","TX",26.2200,-98.2500
"Home Depot Hub #4141","Travis County","TX",30.3000,-97.7200
"Costco Wholesale #4242","Harris County","TX",29.8000,-95.4000
"Dollar General Retail #4343","Dallas County","TX",32.8000,-96.8200
"Sams Club #4444","Tarrant County","TX",32.7800,-97.3500
"Lowes Store #4545","Williamson County","TX",30.5200,-97.6900
"H-E-B Plus! #4646","Bexar County","TX",29.4800,-98.4700
"Academy Sports #4747","Bell County","TX",31.1200,-97.3600
"Best Buy #4848","Collin County","TX",33.0300,-96.7100
"Kroger Marketplace #4949","Denton County","TX",33.2300,-97.1500
"Dollar General Retail #5050","Ector County","TX",31.8800,-102.3600
"Walmart Supercenter #5151","Orange County","FL",28.5383,-81.3792
"Target Store #5252","Miami-Dade County","FL",25.7617,-80.1918
"Home Depot Hub #5353","Hillsborough County","FL",27.9506,-82.4572
"Costco Wholesale #5454","Broward County","FL",26.1224,-80.1373
"Dollar General Retail #5555","Palm Beach County","FL",26.7153,-80.0534
"Sams Club #5656","Pinellas County","FL",27.7676,-82.6403
"Lowes Store #5757","Duval County","FL",30.3322,-81.6557
"Publix Supermarket #5858","Polk County","FL",28.0395,-81.9498
"Academy Sports #5959","Lee County","FL",26.6406,-81.8723
"Best Buy #6060","Brevard County","FL",28.3922,-80.6077
"Kroger Marketplace #6161","Volusia County","FL",29.2108,-81.0228
"Dollar General Retail #6262","Pasco County","FL",28.3292,-82.4323
"Target Store #6363","Seminole County","FL",28.7078,-81.2081
"Walmart Supercenter #6464","Sarasota County","FL",27.3364,-82.5307
"Home Depot #6565","Manatee County","FL",27.4989,-82.5748
"Costco Wholesale #6666","Escambia County","FL",30.4213,-87.2169
"Target Store #6767","Marion County","FL",29.1872,-82.1401
"Dollar General Retail #6868","Osceola County","FL",28.2919,-81.4076
"Lowes #6969","St. Lucie County","FL",27.2730,-80.3582
"Walmart Neighborhood Market #7070","Lake County","FL",28.8025,-81.7612
"Publix Store #7171","Alachua County","FL",29.6516,-82.3248
"Costco Wholesale #7272","Leon County","FL",30.4383,-84.2807
"Home Depot #7373","Okaloosa County","FL",30.4206,-86.6169
"Dollar General Retail #7474","Highlands County","FL",27.4956,-81.4409
"Target Store #7575","Hernando County","FL",28.5553,-82.3879
"Walmart Supercenter #7676","Indian River County","FL",27.6386,-80.3973
"Academy Sports #7777","Bay County","FL",30.1766,-85.6602
"Kroger Marketplace #7878","Charlotte County","FL",26.9806,-82.0726
"Best Buy #7979","Citrus County","FL",28.8872,-82.4820
"Dollar General Retail #8080","Clay County","FL",30.0097,-81.7109
"Walmart Supercenter #8181","Fulton County","GA",33.7490,-84.3880
"Target Store #8282","Gwinnett County","GA",33.9526,-84.1237
"Home Depot Hub #8383","Cobb County","GA",33.9526,-84.5499
"Costco Wholesale #8484","DeKalb County","GA",33.7748,-84.2963
"Dollar General Retail #8585","Chatham County","GA",32.0809,-81.0912
"Sams Club #8686","Richmond County","GA",33.4735,-82.0105
"Lowes Store #8787","Muscogee County","GA",32.4609,-84.9877
"Publix Supermarket #8888","Cherokee County","GA",34.2368,-84.4908
"Academy Sports #8989","Forsyth County","GA",34.2073,-84.1402
"Best Buy #9090","Henry County","GA",33.4487,-84.1557
"Kroger Marketplace #9191","Hall County","GA",34.2979,-83.8241
"Dollar General Retail #9292","Houston County","GA",32.6163,-83.6262
"Target Store #9393","Bibb County","GA",32.8407,-83.6324
"Walmart Supercenter #9494","Clayton County","GA",33.5418,-84.3585
"Home Depot #9595","Clarke County","GA",33.9519,-83.3576
"Costco Wholesale #9696","Floyd County","GA",34.2570,-85.1647
"Target Store #9797","Lowndes County","GA",30.8327,-83.2785
"Dollar General Retail #9898","Douglas County","GA",33.7515,-84.7477
"Lowes #9999","Coweta County","GA",33.3807,-84.7997
"Walmart Neighborhood Market #10000","Whitfield County","GA",34.7698,-84.9702
